ID,Combined_Caption
TEST_163,"a girl is holding a balloon in her right hand as she looks at the camera with a blue and green dress over her and yellow flowers in the background on the other side of the girl ' s face, and she is looking to the left and has red hair that is in the same color as her eyes can be seen in the picture as she stands in front of a bed of yellow and pink flowers with green leaves on them in the background.  a girl is holding a cotton candy floss in her hand as she stands in front of a bed of yellow and pink flowers on a sunny day at a flower garden in full bloom with a variety of red, yellow and yellow flowers in the background.  a girl is holding a cotton candy pillow in her hand as she stands in front of a flower bed of yellow, red and purple flowers on a sunny day.  a girl is holding a pillow in her hand as she stands in a flower garden of yellow, red and purple flowers on a sunny day.  a girl is looking at something that is in the background and has red hair and blue eyes, she is holding a cotton candy floss on her left hand as she stands in front of a flower bed and is looking directly at the camera with a serious look on her face and her right eye is slightly to the right of her, and there is a wall behind her that says i love you in the middle of the flowers in the background and the flowers that are red and yellow in the."
TEST_164,"a mountain covered in snow is in the foreground and there are trees on the far side of the mountain, and snow on the ground in the foreground of the image as well as the shadow of a person walking on the snow and ice covered path that leads to the summit of the mountain on a bright sunny day with a blue sky, and sun peeking through the clouds in the blue sky.  a mountain covered in snow is in the foreground and there are trees on the far side of the mountain, as if it is a ski lift or snowboard on the mountain in the foreground of the image on a sunny day with a blue sky in the background of the mountain, and a cloudless sky over the snow covered mountain in the distance is visible from the top of the mountain, which is covered in white snow on the top of the mountain.  a mountain is covered in snow on a sunny day in the middle of the day and there are trees on the side of the mountain with snow on them as well as a lot of snow on the branches in the foregourmet, and the sun is shining on the mountain in the far distance as you can see, the sky is a deep blue with a hint of cloudless white in the upper left corner of the image.  a mountain is covered in snow on a sunny day in the middle of the day, with snow on the trees in the foreground as a path leading to the top of the mountain is in the foregrad shadow of the mountain, which appears to be a bit of a snow covered tree and a few bushes on the right of the path are covered in snow and there ' s a lot of snow on the trees, but it is a clear blue sky in the far.  a person is looking down at the mountains in the distance as they are snow - covered with a lot of snow on their feet and the sky is a deep blue, and there are no clouds in the sky as far as the image can be, but it is a clear, blue sky with a few clouds, and the mountains are in the distance as well as the sun peeking into the clear blue sky and the sun is shining on the mountain tops in."
TEST_165,"a boat is in the water at sunset, it is reflecting the setting sun on the water ' s surface as it sails towards a bridge that has a red cushion on the front of it in the foreboord, and a row of buildings on either side of the bridge are in the opposite direction as the sun is going down and there are people walking along the other side of the bridge and looking at the buildings that are lined up with red and white balconies on the second floor.  a boat is on the water at a city street in the evening, with buildings lining both sides of the canal on either side there are people walking on the sidewalk and one person sitting on the sidewalk looking at the camera as they are on a boat going under a bridge that is in the distance and a few clouds are in the sky over the water, and the sun is setting on the other side of the bridge in the distance as if it is a bright orange or pink color.  a man in a striped shirt and a straw hat is riding a gondola in a canal with buildings on both sides of the canal, and a row of balconies on the second floor with flower boxes on each of the balconies in the upper level of the canal on a cloudy day with a blue sky overcast in the background.  a man in a striped shirt and black pants is riding a gondola on a body of water at sunset in a small town, which has buildings on each side of the canal, and a bridge in the distance that leads to a building with balconies on the second floor above the windows that are covered in flower boxes and hanging from the balconies, as well as a red and pink flower pot on the other side of the window, there is a row of windows with green shutters.  a man in a striped shirt and black pants is riding a gondola on a sunny day in an italian canal with buildings lining both sides of the canal, and a row of balconies on the second floor above the water in the foreground of the canal on a cloudy day."
TEST_166,"a bench is outside on a sunny day with people walking in the background.  a bird is walking on pavement in a public area with people walking in the background on a sunny day.  a bunch of people are walking on a sidewalk in a city with tall buildings on either side of the street, there is a wooden slatted bench in the foreground that is made of wood and has flowers growing on the bottom of it and red and pink peonimalia in the middle of the flower bed, and a green palm tree with green leaves on the top of it is in the foreground of the image of a man in a red dress and a woman in a black jacket.  a group of people are walking on a sidewalk in a downtown area on a sunny day in the city with a blue sky in the background.  a wooden bench is outside on a sunny day with people walking in the background."
TEST_167,"a fountain of water is lit up in the night on a cityscape of skyscrapers, with a reflection in the water of the fountain of water and its lights turned on as if it was shooting up from the fountain to the right and the water is reflecting off of the water in the foreground of the fountain, which appears to be a dark blue or cloudy night in the city of the same light and the reflection of the fountain is a bit blurry in the background, but.  a fountain of water is lit up in the night, with skyscrapers in the background as well as a few palm trees, and a blue sky over the city of chicago at night in the foregource of the image is reflecting off the water in the foreground and the fountain is a light that looks like it is shooting up from the ground to the ground in the air as if it were in mid - air, but not a real image to be in the photo of the fountain of water and its.  a picture of a city at night in the middle of the picture there is a fountain of water in the foreground and a tall burjong tower in the background that is lit up in the dark sky and reflecting off of the water in the foreground, the water is reflecting the light of the building across the street from the fountain of water is a reflection of the fountain in the water and buildings are in the background as well as skyscrapers on the other.  a picture of a city at night in the middle of the picture there is a fountain of water in the foreground and the top of the building in the background that is lit up with lights and a lot of people can be seen looking at the water and it looks like they are playing in the dark, but the sky is a dark blue with a little bit of light in the middle of the image as well as the city ' s tallest building, and the bur.  a picture of a city at night in the united states of america is lit up in all the colors of the world ' s tallest building, burj al mina tower as the fountain of water and a cityscape in the foreground with skyscrapers towering over the city of bur alumitan, the tallest building is illuminated in the dark and the water fountains are reflecting off the water in the foreground of the fountain and the buildings are reflected in the water as well as one of the fountain ' s."
TEST_168,"a group of people are walking on a park in a foreign country of asia, which is surrounded by amusement rides, as well as roller coasters in the background of the photo on a cloudy day.  a group of people are walking on a park in a variety of colors, including blue, red, and yellow on a cloudy day and there is a roller coaster behind them, as well as a man in a blue shirt that has a baseball cap on and is looking at the man in the foreground, and another man in a black t - shirt and blue and white t - shirt is standing next to the woman in a floral print dress and he is holding his hands in his pockets as they are looking.  a group of people are walking on a park in a variety of colors, including blue, red, and yellow on a cloudy day as they are walking along an amusement ride with a man in a blue shirt and a woman in a floral dress, and a man in a baseball cap are standing in the foreground looking at the man who is wearing a black t - shirt and blue jeans with a white and black graphic on the front of the t - shirt that says.  a man and two women are walking in a park with a ferris wheel in the background on a cloudy day at a theme of roller coaster in an amusement park, one of the women has her arm around the other two men as they walk towards the ferris wheel in the foreground and a man in a baseball cap is looking at the other two men who are standing next to the one holding a woman ' s hand in his right hand, and he is wearing a floral print tank top and.  a man and woman are standing outside on a cloudy day in an amusement park with a ferris wheel in the background, and a blue and red structure is behind the two people in the foreground of the photo on the top of the ferris wheel in the foreground is a bright orange and blue sign that says i love santa feligherine in the upper right and there ' s a basket of flowers in the center of the man ' s left hand as he looks at the amusement."
TEST_169,a building with a lot of windows on it that is reflecting the sky in the windows and the tree is in front of the building on the other side of the building that ' s a lot of trees and a person is sitting on a bench looking at the building and there is a sign for a business that is on the side of the building in the fore.  a bunch of people are riding bikes on a city street as they are going down the street in the daytime or the day on a sunny day.  a bunch of people are riding bikes on a city street with buildings in the background as well as a street light on a pole with a streetlam in the foreground of the photo.  a bunch of people are riding bikes on a paved road that is surrounded by tall green trees in a public park and a few other people can be seen riding the bikes as they are on a sunny day.  a bunch of people are riding bikes on a paved road with buildings in the background of the photo in the day.
TEST_170,"a building is in front of a mountain on a sunny day in the background, there is a tree with green leaves on it and a blue sky over the building in the foreground of the photo.  a building is in the background with green shutters on the top of it, and a white building on the other side that looks like a chinese building in the background is a blue sky with a mountain in the background of the building and a few people in the foreground looking at the building, and one person is taking a picture of the building with a cell phone in their hand as they walk across the street to the building that is on the opposite.  a man in a red and blue dress is standing on a stone walkway in a chinese style building with a black top and blue and white shinge on the roof, and holding a blue and black long sword in his hand as he looks over the city and a group of people can be seen in the background of the photo on a sunny day.  a man in a red and blue kimono is standing on a walkway in front of a building that has a black shinto roof on the top of it, and people walking in the front of the building on either side of the building are dressed in traditional korean clothing for a traditional korean style dance and a long red cape is also in the foreground of the image of a mountain range in the background with a blue sky in the upper left corner of the image.  a man in a red and blue outfit is standing on a walkway in a chinese style building with a black and white shingled roof on the top, and he is holding a sword in his hand as he looks at a group of people that are walking in the courtyard of the building and it is surrounded by a green tree on a sunny day with a blue sky in the background."
TEST_171,"a dog is looking out a window at a snow covered street in the snow - covered area of a residential neighborhood with no people on the street or in the neighborhood, as it snowed on the ground and trees can be seen from the window in the foreground of the photo of the dog ' s head, and eyes are visible in the snowing scene of an apartment building across the street from the snowing dog is a dark brown and it appears to be a cold, but.  a man is sitting at a table looking out the window at a snow covered park in the winter on a cold day.  a man is sitting at a table looking out the window on a snowy day and has a cup of coffee in his hand as he is looking out at the snow that is falling from the window over his head.  a man is sitting at a table looking out the window on a snowy day at a coffee shop with a cup of coffee in his hand, and a piece of cake on the other side of the table with a white frosting icing on the top of it, as well as a wooden fence and a black railing on the other side of the window is snowing in the area and it is a dark winter day, as the trees outside look overcast with no leaves on the branches.  a man is sitting at a table looking out the window on a snowy day at a coffee shop with a wooden fence in the foregount, and snow falling from the window on the other side of the window as he watches the snowing outside on his feet and his hat is in his cap and a hoodie over his head, and in his hoodie he is resting on his head and a cup of coffee in his left hand is on the table, and there is a white coffee cup on the other."
TEST_172,"a boy is climbing a wall in a gym with climbing blocks on the sides as a part of a climb wall that is made of wood and colored plastic, the walls are covered in multicolored rock and have a lot of rocks in the top and bottom of each one of the rocks are holding their hands in their hands and reaching for the climbing wall to the side with their hands as they climb on each of the climbing blocks in the same direction.  a boy is climbing a wall in a gym, with his arms outstretched and his legs are on the top of the climbing wall as if he is trying to climb a rock wall that is covered in multicolored rock and paperweight paper.  a boy is climbing on a rock wall that is made of black and red foam, with multi colored rocks scattered on the ground in a different color pattern and a red, yellow, blue, and green rock climbing on the wall and another boy sitting on the ground looking at the climb wall as he climbs the climbing wall with his arms stretched out and his head on his hipster ' s feet propped up in the air,.  a man is climbing a wall in a gym with a rock climbing wall next to the man is wearing a pair of black swim trunks and a white t - shirt with black and green on the left hand, and the man is climbing on the top of the rock and has his arms in the air as he reaches the climbing wall to reach the top of the climb wall, which is covered in multicolored rock climbing blocks and a red and blue mat on the floor is the same.  a man is climbing a wall in a gym, he is wearing a tank top and black shorts with multi colored rocks on the sides and a pair of flippers that are also in his left hand as he reaches for the climbing wall to go up and down a little bit as he is trying to climb the wall with his arms stretched out and his head in the air, as if he ' s about to fall on the top of the climbing wall and his feet are on."
TEST_173,"a woman is eating a piece of food in a restaurant with a fork in her mouth as she looks at the food she is eating with her eyes and a blue shirt over her shoulder is pulled up to her chest, and she is wearing a short sleeved green shirt with floral print in the back that says i love my wife and there ' s a man in a light blue shirt sitting at the table behind her and another woman sitting at a table in a green.  a woman is eating food in a restaurant as people look on, some of the people are in the background and some of the lights are on in the background as well as a fire extinguisher on the ceiling in the background of the photo person has a fork in their left hand and the food is on a piece of pasta with a fork in the foreground, and there are other people sitting at the table in the background looking at the food they are eating and having a meal.  a woman is eating pasta at a restaurant, she has on a floral tank top that has a bunch of spaghetti on it as if she is about to eat the pasta and her eyes are wide open and she is looking at the pasta that she is holding in her hand with both hands on her chins, and a man in the background sitting at a table with other people eating in a restaurant as well as a man and woman sitting at a table looking at the pasta.  a woman is eating spaghetti on a white plate with a fork in her hand as she sits at a dining table with a glass of water in the foreground, and another person can be seen in the background at the other end of the table as they sit at a white table in a restaurant on a sunny day.  a woman is eating spaghetti on a white plate with a fork in her hand as she sits at a table with a white table cloth on the table in an indoor restaurant on a sunny day, she is wearing a sleeveless floral tank top that has a multicolored floral design on the front and is in a blue, yellow, and green floral print, and a white ring on her left hand is resting on the rim of her left arm and her right hand is resting on her left wrist as if trying to grab the spaghetti."
TEST_174,"a man is laying in bed looking at his cell phone with a blue light shining on the screen and his eyes are lit from the bottom, as if he is watching a horror movie in the dark of the night on his bed with white pillow cases on the sides of the bed as a light illuminates the man ' s face and is wearing a blue and white t - shirt, which is tucked in the pillow and the pillows are white with white pillow cases, and a.  a man is laying in bed looking at his cell phone with a blue shirt on, and the screen is lit up in the dark as if he is using it to see what appears to be a cell phone with an alarm in his mouth and a dark night sky is in the background and there are white pillows on the bed with a light coming from the bed, and his hair is short and he is wearing a blue t - shirt with a white and blue shirt, which is a deep blue color.  a woman is laying in bed looking at her cell phone and she is using the phone as she looks at her phone in the dark of the night - lit room on her phone is lit up with a blue and white t - shirt and blue headboard, which is a little darker than the blue of her head and shoulders, but she is wearing a pair of blue and white sweats and her eyes are slightly closed and her hair is a blonde bob, and her eyebrows are pale and.  a woman is laying in bed looking at her cell phone with a light coming from the screen and she is wearing a blue shirt and blue pants with a white t - shirt on in the dark of the night.  a woman is laying in bed looking at her cell phone with a light coming from the screen in her left hand and she is wearing a blue shirt and white pillows on the headboard with white pillow on the bed in the foreground, and a shadow of a person can be seen on the wall behind her, as if it is casting a light on her head and the woman ' s face in the dark of the bed with the bed turned to the right of her, which is a blue - blue color."
TEST_175,"a person is walking down a snow covered road with a red stop sign in the foreground, and trees with snow on them in the background are all covered in the snow on a white winter day.  a snow covered road is surrounded by trees on either side of the road in a wintery weather storm with no snow on the trees, or the trees are covered in white snow and there are a lot of snow on the trees in the foregourt of the road as well as thick black branches that have fallen from the trees to the ground and a sign on the road indicating it is time to get back and go for a stop.  cars and trucks are driving down a snow covered road in the middle of a pine filled forest with snow on the trees, as if it had a snow storm that is about to hit the road and a traffic light at the bottom of the road is in the foreground with the headlights turned on, and there ' s no cars to the right on the road, but it looks like they are driving on a snowy day with a lot of snow on the trees and the cars in.  cars are driving down a snow covered road in the middle of a pine filled forest with snow on the trees, which is covered in a thick layer of snow and the sun is shining on the trees and a line of yellow lines in the foreground is painted in the snow as it windsweashes to make it clear the way to the parking lot on a sunny day.  cars are driving down a snow covered road in the middle of a pine filled forest with snow on the trees, which is covered in thick snow and the sky is gray with a few clouds in the sky as well as white snow and no people can be seen on the road in the foreground and a traffic light is on the far left of the road, with cars in the middle of the road on either side of the yellow line in the middle of the road."
TEST_176,"a baby is looking at something and has black eyes and a white shirt with a tree on the right and a blurry picture of the trees in the background of the baby ' s face as if he is holding a cell phone to his ear in order to hear what appears to be a call in the direction of the baby and his eyes are wide open, and he is wearing a pair of black eyeglasses on his left eye which are a bit dark brown in the middle of.  a baby is looking out a window at the cars on the other side of the road and it is a blurry green tree with a leaf on it as the sun goes down and the trees outside of the window can be seen in the distance on the other side of the road and green grass is visible from the driver ' s seat of the car in the back of the car as if to see what looks like a car or truck that is going down the road with the little boy in blue and white.  a baby is looking out a window at the outside, and it ' s sitting in the passenger seat as it is going down the road on a sunny day.  a baby is looking out a window at the road from a passenger car that is on the right hand side of the car as it is going over the top of the hill to take a look at the cars passing trees and a few other cars can be seen in the distance of the baby and the window is partially open, and there is a metal railing separating the baby ' s car from the driver and the road is a green grassy field with trees on either side of the road as far as.  a baby is looking out a window with trees in the background as if it is in a parking lot on a sunny day."
TEST_177,"a man in a black jacket and goggles is snowboarding on a sunny day in the mountains of a ski resort and looking at the snow - covered slopes that are lined with evergreen trees, and snow - covered mountains in the far distance as if it ' s a winter day or the sun is coming out of the snow and the mountains can be seen in the distance with a blue sky in the fore.  a man is skiing down a hill with a lot of snow on his back in the back, and he is wearing a red and white ski suit with a white stripe down the side and blue goggles on his face as well as a black helmet and goggles in his hands on his left hand is a pair of ski poles that are holding the ski poles in his right hand and his left hand is holding the ski poles in his left hand as he goes down the hill to the right and.  a man is skiing down a hill with a lot of snow on his skis in the back, and he is wearing a red and white ski suit with a black visor and goggles in his hands as he leans his head to the side, and looks at the camera with a slight amount of light coming from his left eye and his shadow cast on the snow and the trees that he is skiing down the hill are casting a shadow on the snow, and the sun.  a man is skiing down a hill with a lot of snow on his skis in the background, he is wearing a red and white ski suit with a black helmet and goggles on his face as he leans over the snow, his arms are stretched out to his sides and his skis are in the foreground of the image and the snow covered pine tree is in the fore.  a man is skiing down a mountain with a lot of snow on his skis in the back and he is wearing a red snow suit with white and black on the top and a black goggles on his head as he leans his left kneels to the side of the mountain, and looks at the camera with a blue sky and white clouds in the background of the mountain, and a few evergreen trees are in the foreground as he skis down the mountain in the distance."
TEST_178,"a sunset is seen over a city and the ocean in the far distance as the sun sets behind a mountain, or mountain range with a red and orange sky over the city of santoos, and blue domes on the buildings, all in the same color as the sun sets on the horizon, and the water is in the foreground of the photo with mountains in the background as well as a few trees on the left of the photo as the sun sets in the sky over.  a sunset is seen over a city and the ocean in the far distance as the sun sets behind the mountains, and the sky is orange and blue in color with a hint of blue on the dome tops and white on the dome, as well as a red and yellow sky over the city of santo ' s, and some of the buildings are in the fore.  a sunset is seen over a city with white buildings on the top of the buildings, and a blue dome on the top that is pointed at the sun as it goes down in the sky and the sun is setting over the city of santoos, and there are a lot of buildings in the foreground of the photo with blue windows on the top of the buildings and the sky is orange and purple in the bottom that shows a red and yellow sunset on the horizon and the sun sets.  a sunset is seen over a sea and the town of oiai, santo is in the foreground, and it ' s colors are orange, blue and yellow as far as the sun sets over the horizon, with mountains in the background as a dark cloud hangs in the sky over the horizon in the far distance.  a sunset is setting over a city that is next to the ocean and a few hills in the distance with blue and white domes on the top of each building, as well as a red and orange sky over the ocean on the other side of the city and the sun is setting in the sky above the city of santo, on the greek island in the far distance there is a dark mountain in the distance, and the sun is setting on the horizon of the city in the distance."
TEST_179,"a bowl is filled with food that looks like a bibimbah, carrots, broccoli, and a fried egg on top of a rice bowl in the center of the bowl is a white bowl with chopsticks on the side of the bowl as well as a wooden chopstick that is sticking out of the bowl, and there ' s no one in the bowl or a white plate of food in the background that is sitting on a white table.  a bowl is filled with food that looks like a rice dish, carrots, lettuce, ground meat, and a fried egg on top of the rice in the bowl is a bright orange and green color with sesame seeds on top of the eggs, and a white sauce is sprinkled on top of the carrots and shredded carrots as well as the grounding of the rice is also mixed in with the meat to make it look like they are about to have a lot of seasoning on the top.  a plate of food is on a table and looks like it is made of white ceramic with a circular rim, and the table is a white table top that makes it appear to be in someone ' s dining or a restaurant as they are having a meal on a white plate with a fried egg on top of some type of noodles that are piled high in the center with chopped carrots and spinach as well as a pile of brown and white noodles on the other.  a plate of food is on a table with a white table under it on the table is a fried egg with sesame seeds on top of it, carrots, lettuce, broccoli, and other veggies in the foreground of the plate as well as a pile of brown beans on the side of the plate, and another food that looks like it is sitting on a white plate in the background is blurry and there is a light reflecting off of the food on the plate.  a plate of food is on a white table with a white table under it."
TEST_180,"a man and woman are decorating a table that is in a kitchen, as part of a birthday party on a sunny day in the kitchen or at home, with balloons hanging from the ceiling in the shape of happy birthday, blue, yellow, red, and pink, the word happy birthday in the upper right of the image is cut into three tiered cake, white frosting, and stacked on a cake with a blue and yellow icing in the middle of each layer,.  a man and woman are standing in a kitchen at a birthday cake with candles on top of the cake in the foreground, and a cake that is shaped like a cupcake with frosting on top of it and decorated with blue and white icing in the shape of a heart and the words happy birthday on the upper right of the cake are lit candles in blue and red as well as the number of the cupcake, and the name of the cake are made of paper and a blue streamer of red.  a man and woman are standing in a kitchen at a birthday party in front of a white cake with blue frosting on top of it, surrounded by multicolored balloons on the wall and hanging from a blue happy birthday banner in the middle of the room with the words, happy birthday, written on the front of the cake in red and blue in the upper right hand corner of the man is wearing a blue button down shirt and a white long sleeved.  a man and woman are standing in a kitchen at a birthday party in front of a wooden table that has presents on it, wrapped in colorful tissue paper and a happy birthday sign attached to the table in the shape of a number 1 with multicolored balloons on top of it and the number one is on the top of the cake and the woman is wearing a white long sleeved button down shirt and blue jeans on the bottom of the shirt, and a pair of heels are on her right knee.  a man is looking at his phone that is connected to a bunch of balloons in the shape of a birthday sign on a white wall with a happy birthday banner on the back of it in a blue and red color of the balloons and the number of the balloon is a bright blue inflam of the birthday sign, which says it ' s the first birthday on the left of the blue and red balloons in the upper right hand of the blue one of the balloons is a yellow."
TEST_181,"a group of people are sitting in a room looking at a projector that is hanging from the ceiling in the middle of the room and there is a projection screen in front of them on the wall above the people are watching a movie with their backs turned to the side of the screen, and the lights are turned on in a dimming of the ceiling and they are hanging from the ceiling with a series of white light that is lit from the ceiling in.  a group of people are sitting in a theater watching a movie at the same time as they are watching an animated movie with a white screen in the middle of the room on the ceiling, and a couple looking at the screen and their backs are turned to the same direction as they are in the same direction of the audience, which is a dark blue and there are a lot of lights on the ceiling in the same spot as the people in the front of the screen and behind the screen.  a group of people are sitting in a theater watching a movie at the same time as they are watching an animated movie with a white screen in the middle of the room on the ceiling, and a couple looking at the screen and their backs are turned to the same direction as they are in the same direction of the audience, which is a few minutes after they were sitting in the same spot of the theater where they were seated for a movie.  a group of people are sitting in a theater watching a movie at the same time as they are watching an animated movie with a white screen in the middle of the room on the ceiling, and a row of seats to the left of the screen in the middle of the room with people on either side looking at the screen and watching one of the people sitting in the same seat of the room on the other side of the same seat, there is a man and woman in the same blue - and the other.  a group of people are sitting in chairs looking at a projector that is in the back of a room with a white boarder on the wall in the back of the room on the left and back of the room on the right there is a black paneled wall behind the people that is facing a white boarder with a black door on the right of the door, and a door that is a dark gray door with a black handle on the front of the door and a white paneled door in the middle."
TEST_182,"a stream runs through a jungle with moss covered rocks on either side of the stream, and a bright orange flower in the foreground is on the left hand side of the image in this blurry image.  a waterfall is coming down from the water ' s edge in a tropical jungle with moss growing on the rocks, and a pool of water in the foreground of the waterfall is surrounded by green leaves of a large tree with a green plant on the left side of the waterfall in the foregourtment of the waterfall is dark green in color as it flows over the water and into the water with its green algae covered rocks in the foreground, and the sun shining through.  a waterfall is in the background with lots of green leaves on the side of it in the foreground, and a red flower with yellow and purple on the top is in the foreground of the image on a sunny day.  a waterfall is surrounded by trees and a lush green forest in the background of this image.  a waterfall is surrounded by trees and green plants on either side of the water that is a blue color in the daytime or the day and sun coming through the trees to the left of the waterfall is a bright orange flower with green leaves on the top of it, and a long branch in the middle of the waterfall is on the left of the waterfall and there are rocks to the right of the waterfall with moss growing on the rocks in the fore."
TEST_183,"a bowl is filled with food that looks like a bibimbah, carrots, broccoli, and a fried egg on top of a rice bowl in the center of the bowl is a white bowl with chopsticks on the side of the bowl as well as a wooden chopstick that is sticking out of the bowl, and there ' s no one in the bowl or a white plate of food in the background that is sitting on a white table.  a bowl is filled with food that looks like a rice dish, carrots, lettuce, ground meat, and a fried egg on top of the rice in the bowl is a bright orange and green color with sesame seeds on top of the eggs, and a white sauce is sprinkled on top of the carrots and shredded carrots as well as the grounding of the rice is also mixed in with the meat to make it look like they are about to have a lot of seasoning on the top.  a plate of food is on a table and looks like it is made of white ceramic with a circular rim, and the table is a white table top that makes it appear to be in someone ' s dining or a restaurant as they are having a meal on a white plate with a fried egg on top of some type of noodles that are piled high in the center with chopped carrots and spinach as well as a pile of brown and white noodles on the other.  a plate of food is on a table with a white table under it on the table is a fried egg with sesame seeds on top of it, carrots, lettuce, broccoli, and other veggies in the foreground of the plate as well as a pile of brown beans on the side of the plate, and another food that looks like it is sitting on a white plate in the background is blurry and there is a light reflecting off of the food on the plate.  a plate of food is on a white table with a white table under it."
TEST_184,"a boy is eating an ice cream cone that is in his hand on a sunny day in a crowded street with people in the foreground, a man and a woman can be seen in the background eating the ice cream cone as part of a tour on a summer day at a fair or carnival, one of the children has a red t - shirt and blue jean shorts, the other has a blue and white flower print shirt with a black baseball cap in the back.  a boy is holding an ice cream cone in his hand as he looks at the camera, and the boy is wearing a red t - shirt with multicolored on it and blue, green, pink, and purple in the background on a carnival or carnival, there are balloons in the background behind the boy and a little girl in a white shirt, and a man in a gray shirt standing in the background with other children at the fair looking at the same direction.  a boy is holding an ice cream cone in his hand as he stands in front of a building that has balloons on the front of it in the background of the photo on the left, and a girl on the right with long hair is in the foreground of the photo and she is wearing a red t - shirt with multicolored swirl on the front of the ice cream cone in the middle of her hands on the other side of the boy is another girl in a white shirt and blue jean.  a boy is holding an ice cream cone in his hands on a carnival ride with people in the foreground, a carousel is in the background in this image as the sun shines on the top of the carousel and there are balloons in the background of the carousel and a woman in a floral dress is looking at the camera with a smile on her face and she is wearing a red t - shirt with multicolored ice cream on the upper half of her face in.  a boy is smiling for the camera with a lollipop in his mouth, and he is wearing a red and green cape over his shoulders with a black baseball cap on his head in the foreground of a carnival or funfalkure at a fair on a sunny day with people in the background looking at the boy and taking a picture on the other side of the carousel, a man with a blue t - shirt and a black hat is standing."
TEST_185,"a stream runs through a jungle with moss covered rocks on either side of the stream, and a bright orange flower in the foreground is on the left hand side of the image in this blurry image.  a waterfall is coming down from the water ' s edge in a tropical jungle with moss growing on the rocks, and a pool of water in the foreground of the waterfall is surrounded by green leaves of a large tree with a green plant on the left side of the waterfall in the foregourtment of the waterfall is dark green in color as it flows over the water and into the water with its green algae covered rocks in the foreground, and the sun shining through.  a waterfall is in the background with lots of green leaves on the side of it in the foreground, and a red flower with yellow and purple on the top is in the foreground of the image on a sunny day.  a waterfall is surrounded by trees and a lush green forest in the background of this image.  a waterfall is surrounded by trees and green plants on either side of the water that is a blue color in the daytime or the day and sun coming through the trees to the left of the waterfall is a bright orange flower with green leaves on the top of it, and a long branch in the middle of the waterfall is on the left of the waterfall and there are rocks to the right of the waterfall with moss growing on the rocks in the fore."
TEST_186,"a dog is looking at the camera with snow all around his face on a snowy day.  a dog is looking at the camera with snow falling all around the dog ' s face as it stands in the foreground and a row of trees can be seen in the background with snow falling from the trees in the foreground of the photo and the ground is covered in snow that appears to be a winter scene of white snow, and there are no people on the scene, but it is a dark and foggy day in the background with a bit of light on the left and.  a dog is looking at the camera with snow falling all around the dog ' s head in a snowy field.  a dog is sitting in the snow, looking at the camera with a black nose and black eyes in the winter, and he is wearing a tan coat over his head as he sits in the snow with trees in the background and snow flakes all around the dog in the foreground of the photo.  a golden retriever is sitting in the snow looking at the camera with a black nose and black eyes in the winter, a forest of snow covers the entire of the scene, and it appears to be a wintery day as the sun comes up to the right of the golden retrieverpring golden retriever, which is a medium sized golden color, with a black nose, and black eyes on the left side of the golden retriever ' s face, and the nose is covered in black."
TEST_187,"a person wearing an apron is cooking on a stove with a wok on the burner in their left hand, and the person is holding a wooden spatula in their right hand as they stirs a sauteurd of vegetables in a wok that is sitting on a wooden chopping board next to the stove on the left and a pot of green peppers is on the right of the stove in the background, and there is a counter with wooden cabinets on the left, and a window in the.  a woman is cooking in a kitchen with a skillet that is sitting on a wooden cutting board in front of her and holding a wooden utensil in her hand as she stirs a sauteurce in the wok of her skillet, and vegetables are on the counter in front of her and a bottle of ketchup is in the other corner of the kitchen, which is on a wooden chopping board with a glass bottle of olive oil on it and a small wooden cutting board on the counter.  a woman is cooking in a kitchen with a skillet that is sitting on a wooden cutting board in front of her and holding a wooden utensil in her hand as she stirs a vegetable stir frying in a wok with a wooden spatula in the bottom of the skillet is a bottle of ketchup and a glass bottle of olive oil next to the skillet, and a wooden chopping board with vegetables on it in a brown and white kitchen with a window to the right.  a woman is cooking in a kitchen with a skillet that is sitting on a wooden cutting board in front of her and holding a wooden utensil in her hand as she stirs a vegetable stir frying in a wok with a wooden spatula in the bottom of the skillet is a bottle of ketchup and a glass bottle of olive oil on the other side of the counter next to her, there is a potted plant in a clay pot on a wooden cutting board in the fore.  a woman is cooking in a kitchen with a skillet that is sitting on a wooden cutting board in front of her and there are vegetables on the cutting board next to the skillet as well as a bottle of olive oil and a glass bottle of olive oil that is sitting on the counter in front of her on a sunny day."
TEST_188,"a zebra is looking at something that is in the distance, with a blue sky in the background as well as white puffy clouds in the sky, and a lone tree in the far distance as you can see.  a zebra is running in a field of yellow grass with a black and white stripe of the same color on his body and a black tail with a white and black stripe of the same color is on the bottom of the zebra ' s legs as he runs towards the right and left in the opposite direction, the grass is a golden brown and dry yellow color on the bottom of the image and there are trees in the distance, and a few bushes of green grass in the far.  a zebra is running in a field of yellow grass with a blue sky in the background of the photo.  a zebra is running in a field of yellow grass with a blue sky in the background, which is partly cloudy and the sun is casting a shadow on the ground as it moves towards the horizon in the foreboareng the zebra ' s right foot is in the air and the tail of the zebra is bent in the air, with a black and white stripe down the middle of the zebra ' s left leg and the top of his head is on the left side of.  a zebra is running in a field of yellow grass with a blue sky in the background, which is partly cloudy and the sun is shining on the horizon as it turns to the left and there ' s dust in the foreground, but no one is in the picture as far as it can be, but it looks like a lot of sunlight can be seen in the picture of the zebra ' s left leg and the zebra is black and white with a black mane and black on the right of his legs."
