ID,Question_1,Combined_Answer_1,Question_2,Combined_Answer_2,Question_3,Combined_Answer_3,Question_4,Combined_Answer_4,Question_5,Combined_Answer_5,Question_6,Combined_Answer_6
TEST_192,What can you see in the image?,"rows of seats, screen, seats",What is the image that contains?,"rows of seats, screen",Who is the person in the image?,"conductor, no one, nobody, speaker",What does the image contain?,"screen, seats",Where is the image located?,"auditorium, in movie, wall",Where does the image appear?,"auditorium, in movie, in waiting room"
TEST_193,What can you see in the image?,"baby, child, little girl",What is the image that contains?,"basket, child, toddler, tricycle",Who is the person in the image?,"boy, child, girl",What does the image contain?,"child, child '",Where is the image located?,park,Where does the image appear?,park
TEST_194,What can you see in the image?,eiffel tower,What is the image that contains?,eiffel tower,Who is the person in the image?,"nobody, photographer",What does the image contain?,eiffel tower,Where is the image located?,paris,Where does the image appear?,paris
TEST_195,What can you see in the image?,"buildings, mountains, woman",What is the image that contains?,"cliff, mountain, pocahontas, ruins, view, village",Who is the person in the image?,"photographer, tourist, woman",What does the image contain?,"mountains, ruins, view, village",Where is the image located?,"machete, mountains, peru",Where does the image appear?,"cemetery, machete, mountains, peru, valley"
TEST_196,What can you see in the image?,"baby, baby ' s face, boy ', child ' s face, hand",What is the image that contains?,"boy, eyes, face",Who is the person in the image?,"boy, child",What does the image contain?,"boy, child ', food, toddler",Where is the image located?,"in front of wall, wall",Where does the image appear?,"in room, kitchen, room"
TEST_197,What can you see in the image?,"canoe, kayak, man, man paddling, trees",What is the image that contains?,kayak,Who is the person in the image?,"kayaker, man",What does the image contain?,"kayak, paddle",Where is the image located?,"lake, water",Where does the image appear?,lake
TEST_198,What can you see in the image?,"girl, slide, swing",What is the image that contains?,playground,Who is the person in the image?,"boy, girl, toddler",What does the image contain?,"playground, slide",Where is the image located?,"park, playground",Where does the image appear?,playground
TEST_199,What can you see in the image?,"legs, person ' s legs, skateboard, woman, woman ' s legs",What is the image that contains?,"butt, laptop, leg, shoe",Who is the person in the image?,"skateboarder, woman",What does the image contain?,"butt, feet, person, shoe, woman",Where is the image located?,"floor, in room, living room",Where does the image appear?,"kitchen, living room"
TEST_200,What can you see in the image?,people,What is the image that contains?,"coffee, group, people",Who is the person in the image?,man,What does the image contain?,"group of people, people",Where is the image located?,"dining room, living room, restaurant, room",Where does the image appear?,"coffee shop, dining room, in house, living room"
TEST_201,What can you see in the image?,"birds, flock of birds",What is the image that contains?,"birds, flock of birds",Who is the person in the image?,"farmer, no one",What does the image contain?,birds,Where is the image located?,field,Where does the image appear?,field
TEST_202,What can you see in the image?,"family, food, man",What is the image that contains?,family,Who is the person in the image?,"family, man",What does the image contain?,family,Where is the image located?,kitchen,Where does the image appear?,"in kitchen, kitchen"
TEST_203,What can you see in the image?,eiffel tower,What is the image that contains?,eiffel tower,Who is the person in the image?,"nobody, photographer",What does the image contain?,eiffel tower,Where is the image located?,paris,Where does the image appear?,paris
TEST_204,What can you see in the image?,"city, sun",What is the image that contains?,"setting, sun",Who is the person in the image?,"bicyclist, cyclist, photographer, surfer",What does the image contain?,"setting, sun",Where is the image located?,"beach, lake, park",Where does the image appear?,"lake, ocean, park"
TEST_205,What can you see in the image?,"frisbee, people",What is the image that contains?,"ball, frisbee, team",Who is the person in the image?,"boy, children, frisbee, frisbee players, soccer players",What does the image contain?,"frisbee, people, soccer",Where is the image located?,"court, park",Where does the image appear?,"court, park, tennis court"
TEST_206,What can you see in the image?,"bread, corn, croissants, pastries",What is the image that contains?,"bread, croissants, hot dogs",Who is the person in the image?,"baker, no one, nobody",What does the image contain?,"bread, croissants, food, pastries",Where is the image located?,"bakery, food, near bread, near spoon",Where does the image appear?,"bakery, in oven, near bread, near food, near pastries"
TEST_207,What can you see in the image?,flamingo,What is the image that contains?,flamingo,Who is the person in the image?,nobody,What does the image contain?,flamingo,Where is the image located?,lake,Where does the image appear?,lake
TEST_208,What can you see in the image?,"food, noodles",What is the image that contains?,"bowl, food, noodles",Who is the person in the image?,no one,What does the image contain?,"food, noodles",Where is the image located?,table,Where does the image appear?,"bowl, table"
TEST_209,What can you see in the image?,"pizza, reflection",What is the image that contains?,"oven, pizza",Who is the person in the image?,"chef, no one",What does the image contain?,"fire, oven, pizza",Where is the image located?,"kitchen, oven",Where does the image appear?,"in oven, oven"
TEST_210,What can you see in the image?,man,What is the image that contains?,weight,Who is the person in the image?,trainer,What does the image contain?,"boxers, man, muscle, sumo, weight",Where is the image located?,arena,Where does the image appear?,"arena, gym, gymnasium"
TEST_211,What can you see in the image?,"graffiti, part of building",What is the image that contains?,graffiti,Who is the person in the image?,"boy, man, no one, skateboarder",What does the image contain?,graffiti,Where is the image located?,"ground, street, train tracks, under bridge",Where does the image appear?,"in alley, on sidewalk, train tracks, under bridge, underpass"
TEST_212,What can you see in the image?,people,What is the image that contains?,"people, picture",Who is the person in the image?,"clown, man, performers",What does the image contain?,"ceremony, costumes, people, performers",Where is the image located?,"china, courtyard, in courtyard, on ground, outside",Where does the image appear?,"in courtyard, on street"
TEST_213,What can you see in the image?,"bird, flowers, macaw",What is the image that contains?,"flowers, parrot",Who is the person in the image?,no one,What does the image contain?,"bird, flowers, parrot",Where is the image located?,"forest, jungle",Where does the image appear?,jungle
TEST_214,What can you see in the image?,"candle, candles, clock",What is the image that contains?,clock,Who is the person in the image?,"no one, nobody",What does the image contain?,"candles, clock",Where is the image located?,"living room, table, wall",Where does the image appear?,"dining room, living room, table"
TEST_215,What can you see in the image?,"frisbee, man, man ' s legs, man ' s shadow",What is the image that contains?,"ball, hands, man, stadium",Who is the person in the image?,"athlete, man, runner",What does the image contain?,"athlete, ball, frisbee, man, man ' s legs, man ' s shadow, tennis",Where is the image located?,"court, field, stadium, tennis court, track",Where does the image appear?,"stadium, tennis court"
TEST_216,What can you see in the image?,"bathtub, sinks, toilet",What is the image that contains?,"bathroom, bathtub, bowls, toilet",Who is the person in the image?,"no one, nobody, photographer",What does the image contain?,"bathroom, bathtub, bowls, toilet",Where is the image located?,bathroom,Where does the image appear?,bathroom
TEST_217,What can you see in the image?,food,What is the image that contains?,food,Who is the person in the image?,"chef, no one, waiter",What does the image contain?,food,Where is the image located?,"kitchen, restaurant, table",Where does the image appear?,"kitchen, restaurant"
TEST_218,What can you see in the image?,"coffee, reflection, shadow, steam",What is the image that contains?,"coffee, smoke, steam",Who is the person in the image?,no one,What does the image contain?,"coffee, smoke, steam",Where is the image located?,"coffee, coffee table, table",Where does the image appear?,"coffee, coffee table, on table"
TEST_219,What can you see in the image?,"people, projection, projection screen, projector, screen",What is the image that contains?,"audience, blur, projection, projector",Who is the person in the image?,"man, woman",What does the image contain?,"audience, movie, projector",Where is the image located?,"movie, movie theater, wall",Where does the image appear?,"auditorium, classroom, in movie"
TEST_220,What can you see in the image?,"cars, man",What is the image that contains?,"parking, parking meter",Who is the person in the image?,"cop, man, woman",What does the image contain?,"man, parking, parking meter",Where is the image located?,parking lot,Where does the image appear?,parking lot
TEST_221,What can you see in the image?,"buildings, mountains, woman",What is the image that contains?,"cliff, mountain, pocahontas, ruins, view, village",Who is the person in the image?,"photographer, tourist, woman",What does the image contain?,"mountains, ruins, view, village",Where is the image located?,"machete, mountains, peru",Where does the image appear?,"cemetery, machete, mountains, peru, valley"
TEST_222,What can you see in the image?,"surf, surfboard, surfer",What is the image that contains?,"surfer, water",Who is the person in the image?,surfer,What does the image contain?,"surf, surfer, water",Where is the image located?,"beach, ocean",Where does the image appear?,"beach, ocean"
TEST_223,What can you see in the image?,people,What is the image that contains?,"band, blur, people",Who is the person in the image?,"group, man, woman",What does the image contain?,people,Where is the image located?,"city, street",Where does the image appear?,city
TEST_224,What can you see in the image?,"fountain, skyscraper",What is the image that contains?,"fireworks, fountain, skyscraper",Who is the person in the image?,photographer,What does the image contain?,"fireworks, fountain, skyscraper",Where is the image located?,"city, in city, middle, new york, water",Where does the image appear?,"city, in city, in middle of city, new york"
TEST_225,What can you see in the image?,"girl, slide, swing",What is the image that contains?,playground,Who is the person in the image?,"boy, girl, toddler",What does the image contain?,"playground, slide",Where is the image located?,"park, playground",Where does the image appear?,playground
TEST_226,What can you see in the image?,"arm, hand, latte",What is the image that contains?,"hand, heart, latte, window",Who is the person in the image?,"barista, man",What does the image contain?,"barista, hot chocolate, latte",Where is the image located?,"coffee, coffee shop, window",Where does the image appear?,"coffee, coffee shop"
TEST_227,What can you see in the image?,"ferris wheel, roller coaster",What is the image that contains?,"amusement, ferris wheel, roller coaster",Who is the person in the image?,"group, man",What does the image contain?,"amusement, ferris wheel, roller coaster",Where is the image located?,amusement park,Where does the image appear?,amusement park
TEST_228,What can you see in the image?,"cell, cell phone, woman",What is the image that contains?,"cell phone, girl, phone",Who is the person in the image?,"boy, woman",What does the image contain?,"cell phone, face, girl, woman",Where is the image located?,"bedroom, in bedroom",Where does the image appear?,"bedroom, in bedroom"
TEST_229,What can you see in the image?,surfer,What is the image that contains?,water,Who is the person in the image?,surfer,What does the image contain?,"surfer, water",Where is the image located?,ocean,Where does the image appear?,ocean
TEST_230,What can you see in the image?,"group of people, people, windows",What is the image that contains?,"group of people, meeting, office, white, window",Who is the person in the image?,"business people, man, woman",What does the image contain?,"meeting, office, people",Where is the image located?,office,Where does the image appear?,office
TEST_231,What can you see in the image?,"man, picture, pictures, players",What is the image that contains?,"ball, black, black and white, black and white photograph, players",Who is the person in the image?,"man, players",What does the image contain?,"black and white, leg, players, uniforms",Where is the image located?,"court, floor, on wall, wall",Where does the image appear?,"gym, gymnasium"
TEST_232,What can you see in the image?,"snow, trees, truck, trucks",What is the image that contains?,snow,Who is the person in the image?,"man, no one, nobody, skier",What does the image contain?,snow,Where is the image located?,"road, woods",Where does the image appear?,"road, woods"
TEST_233,What can you see in the image?,"gazelle, giraffe",What is the image that contains?,"antelope, gazelle",Who is the person in the image?,"no one, nobody",What does the image contain?,"antelope, deer",Where is the image located?,forest,Where does the image appear?,forest
TEST_234,What can you see in the image?,"hills, mountain, path, train",What is the image that contains?,"cliff, landscape, mountain",Who is the person in the image?,"no one, photographer",What does the image contain?,"hills, landscape, mountain",Where is the image located?,"countryside, hillside, mountains, valley",Where does the image appear?,"countryside, mountain, valley"
TEST_235,What can you see in the image?,"man, reflection",What is the image that contains?,reflection,Who is the person in the image?,"engineer, man, pilot",What does the image contain?,"airplane, factory, man, plane, reflection",Where is the image located?,"ceiling, hangar, in hangar, warehouse",Where does the image appear?,"airplane, ceiling, hangar, in garage, warehouse"
TEST_236,What can you see in the image?,"fire, plane",What is the image that contains?,fire,Who is the person in the image?,"no one, nobody, pilot",What does the image contain?,fire,Where is the image located?,field,Where does the image appear?,"field, forest"
TEST_237,What can you see in the image?,"building, buildings, people, school, students",What is the image that contains?,"field, group, group of people, people, school",Who is the person in the image?,students,What does the image contain?,"people, school, students",Where is the image located?,park,Where does the image appear?,"field, in park, park"
TEST_238,What can you see in the image?,laptop,What is the image that contains?,laptop,Who is the person in the image?,no one,What does the image contain?,laptop,Where is the image located?,"desk, office, table, window",Where does the image appear?,"desk, in office, office, window"
TEST_239,What can you see in the image?,woman,What is the image that contains?,"subway, woman",Who is the person in the image?,woman,What does the image contain?,"train, woman",Where is the image located?,"subway, train",Where does the image appear?,"subway, train"
TEST_240,What can you see in the image?,"dumplings, noodles, pot, wontons",What is the image that contains?,"dumplings, pot",Who is the person in the image?,no one,What does the image contain?,"dumplings, food",Where is the image located?,"in pan, in pot, pan, under spoon",Where does the image appear?,"in pan, in pot"
TEST_241,What can you see in the image?,"fork, man, man in long sleeve, man in long sleeved shirt, pallet, pallets",What is the image that contains?,"boxes, pallet, warehouse",Who is the person in the image?,worker,What does the image contain?,"boxes, pallet, warehouse",Where is the image located?,warehouse,Where does the image appear?,warehouse
TEST_242,What can you see in the image?,"mountain, mountains",What is the image that contains?,"group of people, mountain, mountains, ship",Who is the person in the image?,"captain, group, group of people, passengers, skier",What does the image contain?,"mountains, ship",Where is the image located?,"airport, dock, mountains, near water, on dock",Where does the image appear?,"airport, mountains, near dock, ocean"
TEST_243,What can you see in the image?,"children, frisbee, kids, people, playground",What is the image that contains?,"children, frisbee, people, playground",Who is the person in the image?,children,What does the image contain?,"children, frisbee, people, playground",Where is the image located?,"field, park",Where does the image appear?,"field, park"
TEST_244,What can you see in the image?,city,What is the image that contains?,city,Who is the person in the image?,"man, nobody",What does the image contain?,city,Where is the image located?,"city, park",Where does the image appear?,"city, in park, park"
TEST_245,What can you see in the image?,"art, people, statues",What is the image that contains?,"art, bust, group, group of people, statue",Who is the person in the image?,"group, group of people, man, students",What does the image contain?,"art, statues",Where is the image located?,museum,Where does the image appear?,museum
TEST_246,What can you see in the image?,"sail, sailboat",What is the image that contains?,"sail, sailboat",Who is the person in the image?,"no one, nobody",What does the image contain?,sailboat,Where is the image located?,ocean,Where does the image appear?,ocean
TEST_247,What can you see in the image?,"woman, woman ' s hair",What is the image that contains?,"food, spaghetti, woman ' s face",Who is the person in the image?,"waitress, woman",What does the image contain?,"food, spaghetti",Where is the image located?,restaurant,Where does the image appear?,restaurant
TEST_248,What can you see in the image?,"skier, snow",What is the image that contains?,"skier, snow",Who is the person in the image?,"skier, snowboarder",What does the image contain?,"skier, snow",Where is the image located?,mountain,Where does the image appear?,mountain
TEST_249,What can you see in the image?,ice cream,What is the image that contains?,ice cream,Who is the person in the image?,"no one, nobody",What does the image contain?,ice cream,Where is the image located?,"ice cream shop, store, tv",Where does the image appear?,"ice cream shop, in front of window, in store, store"
TEST_250,What can you see in the image?,"ski, ski lift, ski tracks",What is the image that contains?,"chair, ski, ski lift, skier, snow",Who is the person in the image?,skier,What does the image contain?,"mountains, ski tracks, skier, snow",Where is the image located?,"mountains, ski slope",Where does the image appear?,"mountain, mountains, ski slope"
TEST_251,What can you see in the image?,"man, picture, pictures, players",What is the image that contains?,"ball, black, black and white, black and white photograph, players",Who is the person in the image?,"man, players",What does the image contain?,"black and white, leg, players, uniforms",Where is the image located?,"court, floor, on wall, wall",Where does the image appear?,"gym, gymnasium"
TEST_252,What can you see in the image?,"farm, house, train",What is the image that contains?,"barn, painting, steam, train",Who is the person in the image?,"conductor, no one",What does the image contain?,"farm, painting, train",Where is the image located?,"countryside, field",Where does the image appear?,"countryside, field"
TEST_253,What can you see in the image?,"mountain, mountains",What is the image that contains?,"group of people, mountain, mountains, ship",Who is the person in the image?,"captain, group, group of people, passengers, skier",What does the image contain?,"mountains, ship",Where is the image located?,"airport, dock, mountains, near water, on dock",Where does the image appear?,"airport, mountains, near dock, ocean"
TEST_254,What can you see in the image?,"tree, trees",What is the image that contains?,"tree, trees",Who is the person in the image?,"no one, nobody",What does the image contain?,"tree, trees",Where is the image located?,park,Where does the image appear?,"in park, park"
TEST_255,What can you see in the image?,"basketball, basketball hoop",What is the image that contains?,"basketball, dunk",Who is the person in the image?,basketball player,What does the image contain?,basketball,Where is the image located?,"basketball court, court",Where does the image appear?,"basketball court, court"
TEST_256,What can you see in the image?,"skier, snow",What is the image that contains?,"skier, snow",Who is the person in the image?,"skier, snowboarder",What does the image contain?,"skier, snow",Where is the image located?,mountain,Where does the image appear?,mountain
TEST_257,What can you see in the image?,"palm, palm trees",What is the image that contains?,"beach, palm",Who is the person in the image?,"family, surfer, tourist",What does the image contain?,"beach, palm, palm trees",Where is the image located?,beach,Where does the image appear?,beach
TEST_258,What can you see in the image?,man,What is the image that contains?,"rain, umbrella",Who is the person in the image?,man,What does the image contain?,"man, umbrella",Where is the image located?,city,Where does the image appear?,city
TEST_259,What can you see in the image?,"girl, water",What is the image that contains?,"playground, pool, splash, water",Who is the person in the image?,girl,What does the image contain?,"playground, slide, water",Where is the image located?,"playground, pool, water",Where does the image appear?,"playground, pool, water"
TEST_260,What can you see in the image?,"pizza, reflection",What is the image that contains?,"oven, pizza",Who is the person in the image?,"chef, no one",What does the image contain?,"fire, oven, pizza",Where is the image located?,"kitchen, oven",Where does the image appear?,"in oven, oven"
TEST_261,What can you see in the image?,"boats, buildings, man, reflection, street",What is the image that contains?,"reflection, venice, water",Who is the person in the image?,man,What does the image contain?,"boat, reflection, street",Where is the image located?,"canal, city, italy, venice, water",Where does the image appear?,"canal, city, venice"
TEST_262,What can you see in the image?,tractor,What is the image that contains?,tractor,Who is the person in the image?,farmer,What does the image contain?,tractor,Where is the image located?,"countryside, field",Where does the image appear?,"country, countryside, field"
TEST_263,What can you see in the image?,"rows of seats, screen, seats",What is the image that contains?,"rows of seats, screen",Who is the person in the image?,"conductor, no one, nobody, speaker",What does the image contain?,"screen, seats",Where is the image located?,"auditorium, in movie, wall",Where does the image appear?,"auditorium, in movie, in waiting room"
TEST_264,What can you see in the image?,"laptop, person, picture, woman",What is the image that contains?,"computer, laptop, light, person, website, woman",Who is the person in the image?,"man, no one, woman",What does the image contain?,"laptop, office, person, woman",Where is the image located?,"computer, living room, office, wall",Where does the image appear?,"living room, office"
TEST_265,What can you see in the image?,"children, water",What is the image that contains?,"children, sprinkler, water",Who is the person in the image?,"boy, children, girl",What does the image contain?,water,Where is the image located?,"park, playground",Where does the image appear?,"playground, water park"
TEST_266,What can you see in the image?,"man, pool, truck, water",What is the image that contains?,"pool, sun",Who is the person in the image?,"man, photographer, surfer",What does the image contain?,"man, pool, sun",Where is the image located?,"beach, near pool, pool, sky",Where does the image appear?,"beach, ocean, pool"
TEST_267,What can you see in the image?,"hair dryer, mirror, reflection",What is the image that contains?,"hair, hair dryer, mirror",Who is the person in the image?,no one,What does the image contain?,"hair, makeup, reflection, table, vanity",Where is the image located?,"bathroom, bedroom",Where does the image appear?,"bathroom, bedroom, in bedroom"
TEST_268,What can you see in the image?,helicopter,What is the image that contains?,helicopter,Who is the person in the image?,pilot,What does the image contain?,helicopter,Where is the image located?,"mountains, sky",Where does the image appear?,"mountains, sky, valley"
TEST_269,What can you see in the image?,family,What is the image that contains?,family,Who is the person in the image?,family,What does the image contain?,family,Where is the image located?,"living room, wall",Where does the image appear?,"in living room, living room"
TEST_270,What can you see in the image?,"bridge, city, lights",What is the image that contains?,"balcony, city, landscape, moon, street",Who is the person in the image?,"no one, nobody, surfer",What does the image contain?,"city, landscape, lights, moon, patio",Where is the image located?,"balcony, beach, bridge, city",Where does the image appear?,"balcony, beach, bridge, city"
TEST_271,What can you see in the image?,"airplane, luggage, people, people waiting for their luggage, windows",What is the image that contains?,"luggage, people, silhouette, window, windows",Who is the person in the image?,"man, passengers, travelers",What does the image contain?,"group of people, luggage, people, silhouette",Where is the image located?,airport,Where does the image appear?,airport
TEST_272,What can you see in the image?,"clothing, people, store",What is the image that contains?,"clothing, crowd",Who is the person in the image?,"shopper, shoppers",What does the image contain?,"clothing, people, store",Where is the image located?,"airport, mall",Where does the image appear?,"airport, mall"
TEST_273,What can you see in the image?,man,What is the image that contains?,"cockpit, engine, jet, pilot, space shuttle",Who is the person in the image?,pilot,What does the image contain?,"jet, man, pilot",Where is the image located?,"cockpit, hangar, in hangar, in hanger, space, wall",Where does the image appear?,"in cockpit, in hangar, jet, space"
TEST_274,What can you see in the image?,"frisbee, people",What is the image that contains?,"ball, frisbee, team",Who is the person in the image?,"boy, children, frisbee, frisbee players, soccer players",What does the image contain?,"frisbee, people, soccer",Where is the image located?,"court, park",Where does the image appear?,"court, park, tennis court"
TEST_275,What can you see in the image?,man,What is the image that contains?,"action, man, picture",Who is the person in the image?,man,What does the image contain?,"kendo, man, picture, uniform",Where is the image located?,wall,Where does the image appear?,"gym, gymnasium, in front of wall, in gymnasium, wall"
TEST_276,What can you see in the image?,"laptop, person, picture, woman",What is the image that contains?,"computer, laptop, light, person, website, woman",Who is the person in the image?,"man, no one, woman",What does the image contain?,"laptop, office, person, woman",Where is the image located?,"computer, living room, office, wall",Where does the image appear?,"living room, office"
TEST_277,What can you see in the image?,"balloons, boy, ice cream",What is the image that contains?,"amusement, ice cream, merry go round",Who is the person in the image?,boy,What does the image contain?,"amusement, candy, ice cream",Where is the image located?,"carnival, fair, merry go round",Where does the image appear?,"carnival, merry go round"
TEST_278,What can you see in the image?,"baseball, baseball game, home plate",What is the image that contains?,"baseball, batter",Who is the person in the image?,"baseball player, baseball players",What does the image contain?,baseball,Where is the image located?,"baseball field, field, stadium, stands",Where does the image appear?,"baseball field, baseball stadium"
TEST_279,What can you see in the image?,"bench, path, road, trees",What is the image that contains?,"path, road, trees",Who is the person in the image?,"no one, nobody",What does the image contain?,"leaves, path, road, trees",Where is the image located?,"park, road, woods",Where does the image appear?,"in woods, park, woods"
TEST_280,What can you see in the image?,"man, person, skateboard, street, trees",What is the image that contains?,"blur, head, skate, sun",Who is the person in the image?,"man, woman",What does the image contain?,"man, person, skate, sun",Where is the image located?,"field, road, street",Where does the image appear?,"forest, street"
TEST_281,What can you see in the image?,"buoys, fishing boats, fishing net, fishing nets, man",What is the image that contains?,"fishing, fishing net, ropes",Who is the person in the image?,"fisherman, man",What does the image contain?,"fishing equipment, fishing nets, lobster",Where is the image located?,"dock, harbor, water",Where does the image appear?,"boat, harbor"
TEST_282,What can you see in the image?,chalkboard,What is the image that contains?,"chalk, chalkboard, classroom, map",Who is the person in the image?,teacher,What does the image contain?,"chalkboard, chart, children, classroom, map",Where is the image located?,"chalkboard, classroom",Where does the image appear?,classroom
TEST_283,What can you see in the image?,"woman, woman ' s hair",What is the image that contains?,"food, spaghetti, woman ' s face",Who is the person in the image?,"waitress, woman",What does the image contain?,"food, spaghetti",Where is the image located?,restaurant,Where does the image appear?,restaurant
TEST_284,What can you see in the image?,"man, mountains",What is the image that contains?,"backpack, landscape, mountains",Who is the person in the image?,man,What does the image contain?,"backpack, landscape, mountains",Where is the image located?,mountains,Where does the image appear?,"mountains, valley"
TEST_285,What can you see in the image?,"bowling alley, man",What is the image that contains?,"blur, bowling, bowling alley, video",Who is the person in the image?,"boy, man",What does the image contain?,"bowling, video",Where is the image located?,bowling alley,Where does the image appear?,bowling alley
TEST_286,What can you see in the image?,"cars, race, racers",What is the image that contains?,"motorcyclist, motorcyclists, race",Who is the person in the image?,"driver, racers",What does the image contain?,"race, racers",Where is the image located?,racetrack,Where does the image appear?,racetrack
TEST_287,What can you see in the image?,"ball, man, net, volleyball, volleyball player",What is the image that contains?,"ball, blur, volleyball",Who is the person in the image?,"man, player",What does the image contain?,"ball, volleyball",Where is the image located?,"beach, court",Where does the image appear?,"beach, court, on court, volleyball court"
TEST_288,What can you see in the image?,"hot air balloon, kite",What is the image that contains?,"hot air balloon, kite, sky",Who is the person in the image?,"man, no one",What does the image contain?,"hot air balloon, kite",Where is the image located?,"field, sky",Where does the image appear?,"field, sky"
TEST_289,What can you see in the image?,"ice, ice hockey, ice hockey players, players",What is the image that contains?,ice hockey,Who is the person in the image?,"hockey, hockey players",What does the image contain?,"hockey, ice hockey",Where is the image located?,"arena, hockey rink, hockey stadium, ice, stadium",Where does the image appear?,"hockey rink, hockey stadium, stadium"
TEST_290,What can you see in the image?,hair salon,What is the image that contains?,"hair, hair stylist, hairdresser",Who is the person in the image?,barber,What does the image contain?,"barber, barber shop, hair, hair salon",Where is the image located?,"barber shop, hair salon, salon, wall",Where does the image appear?,"barber shop, salon"
TEST_291,What can you see in the image?,"man, man ' s legs, men, runners, tennis players",What is the image that contains?,"ball, running, running man",Who is the person in the image?,"athlete, runner, runners",What does the image contain?,"players, race, runner, runners, running man",Where is the image located?,"field, tennis court, track",Where does the image appear?,"race, soccer field, tennis court, track"
TEST_292,What can you see in the image?,helicopter,What is the image that contains?,helicopter,Who is the person in the image?,pilot,What does the image contain?,helicopter,Where is the image located?,"mountains, sky",Where does the image appear?,"mountains, sky, valley"
TEST_293,What can you see in the image?,"buoys, fishing boats, fishing net, fishing nets, man",What is the image that contains?,"fishing, fishing net, ropes",Who is the person in the image?,"fisherman, man",What does the image contain?,"fishing equipment, fishing nets, lobster",Where is the image located?,"dock, harbor, water",Where does the image appear?,"boat, harbor"
TEST_294,What can you see in the image?,"sea creatures, turtle",What is the image that contains?,"sea, seaweed, turtle",Who is the person in the image?,"diver, no one",What does the image contain?,"sea life, turtle",Where is the image located?,underwater,Where does the image appear?,underwater
TEST_295,What can you see in the image?,"bed, cat, lamp, pillows",What is the image that contains?,"bed, lamp, sun",Who is the person in the image?,no one,What does the image contain?,"cat, lamp, pillows, room",Where is the image located?,"bedroom, living room",Where does the image appear?,"bedroom, living room"
TEST_296,What can you see in the image?,"arm, hand, latte",What is the image that contains?,"hand, heart, latte, window",Who is the person in the image?,"barista, man",What does the image contain?,"barista, hot chocolate, latte",Where is the image located?,"coffee, coffee shop, window",Where does the image appear?,"coffee, coffee shop"
TEST_297,What can you see in the image?,"bowls, food",What is the image that contains?,"bowls, food",Who is the person in the image?,no one,What does the image contain?,food,Where is the image located?,table,Where does the image appear?,table
TEST_298,What can you see in the image?,"cell phones, couple, group of people, man, people",What is the image that contains?,"cell phone, couple, group, picture",Who is the person in the image?,man,What does the image contain?,"couple, group, people, picture",Where is the image located?,park,Where does the image appear?,park
TEST_299,What can you see in the image?,camel,What is the image that contains?,"camel, desert",Who is the person in the image?,no one,What does the image contain?,"camel, desert",Where is the image located?,desert,Where does the image appear?,desert
TEST_300,What can you see in the image?,"cars, race, racers",What is the image that contains?,"motorcyclist, motorcyclists, race",Who is the person in the image?,"driver, racers",What does the image contain?,"race, racers",Where is the image located?,racetrack,Where does the image appear?,racetrack
TEST_301,What can you see in the image?,"man, mountains",What is the image that contains?,"backpack, landscape, mountains",Who is the person in the image?,man,What does the image contain?,"backpack, landscape, mountains",Where is the image located?,mountains,Where does the image appear?,"mountains, valley"
TEST_302,What can you see in the image?,"bar, bartender, man",What is the image that contains?,"bar, bar scene",Who is the person in the image?,bartender,What does the image contain?,"bar, bar scene, bartender",Where is the image located?,bar,Where does the image appear?,bar
TEST_303,What can you see in the image?,"group, group of people, people",What is the image that contains?,"group, people",Who is the person in the image?,"group, man, teacher",What does the image contain?,"group, people",Where is the image located?,"mountain, mountains, top of mountain",Where does the image appear?,"mountain, mountains, on mountain"
TEST_304,What can you see in the image?,"group of people, people, windows",What is the image that contains?,"group of people, meeting, office, white, window",Who is the person in the image?,"business people, man, woman",What does the image contain?,"meeting, office, people",Where is the image located?,office,Where does the image appear?,office
TEST_305,What can you see in the image?,"fountain, skyscraper",What is the image that contains?,"fireworks, fountain, skyscraper",Who is the person in the image?,photographer,What does the image contain?,"fireworks, fountain, skyscraper",Where is the image located?,"city, in city, middle, new york, water",Where does the image appear?,"city, in city, in middle of city, new york"
TEST_306,What can you see in the image?,"bridge, city, lights",What is the image that contains?,"balcony, city, landscape, moon, street",Who is the person in the image?,"no one, nobody, surfer",What does the image contain?,"city, landscape, lights, moon, patio",Where is the image located?,"balcony, beach, bridge, city",Where does the image appear?,"balcony, beach, bridge, city"
TEST_307,What can you see in the image?,"clothes, man, man ' s clothes",What is the image that contains?,clothes,Who is the person in the image?,"man, woman",What does the image contain?,clothes,Where is the image located?,"apartment, balcony, closet, window",Where does the image appear?,"apartment, balcony, closet, in bedroom"
TEST_308,What can you see in the image?,"cars, group of people, people",What is the image that contains?,"car, cars, group, group of people, reflection",Who is the person in the image?,"group of people, man, men, men and women, woman",What does the image contain?,"group of people, people, reflection",Where is the image located?,"car, car show, mirror, parking lot, showroom",Where does the image appear?,"car show, in car show, parking lot, showroom"
TEST_309,What can you see in the image?,tractor,What is the image that contains?,tractor,Who is the person in the image?,farmer,What does the image contain?,tractor,Where is the image located?,"countryside, field",Where does the image appear?,"country, countryside, field"
TEST_310,What can you see in the image?,"man, person, skateboard, street, trees",What is the image that contains?,"blur, head, skate, sun",Who is the person in the image?,"man, woman",What does the image contain?,"man, person, skate, sun",Where is the image located?,"field, road, street",Where does the image appear?,"forest, street"
